
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
37=	Teymour Aldridge	Novice	ETH Zürich DT	78	83	80	77	80	398	79.60	2.06
37=	Roibeárd Mac Giolla Phádraig		UCD L&amp;H here to w(A)lk that fucking	81	82	78	78	79	398	79.60	1.62
40=	Theo Simion	ESL	Burning trashfire	81	77	81	77	81	397	79.40	1.96
40=	Panagis Gouvelis	ESL	Athens A	77	81	82	75	82	397	79.40	2.87
40=	Irina Chicus	ESL	Balkan Girls	78	81	81	80	77	397	79.40	1.62
40=	Rick Tan		UCL (A)lternate Timeline	81	78	79	77	82	397	79.40	1.85
44=	Wurdaan Kashif		The Hat Men	81	82	78	77	78	396	79.20	1.94
44=	George Fragkiadakis	ESL	Athens A	78	81	80	75	82	396	79.20	2.48
44=	Shane Tully		UCD L&amp;H here to w(A)lk that fucking	80	80	77	78	81	396	79.20	1.47
47=	Esmé Thornhill-Davis		Both Hiding English Accents	77	81	81	78	78	395	79.00	1.67
47=	Eoghan Connolly		Dr Strangelove or How I Learned to	76	82	78	77	82	395	79.00	2.53
47=	Shaq Scott-Davis		Shaq&amp;Tom	79	77	81	81	77	395	79.00	1.79
47=	Sasha Khovrak	ESL	Extending into your mum&#x27;s dms	79	77	81	77	81	395	79.00	1.79
47=	William Smith		will make you scream harder than ho	79	79	83	77	77	395	79.00	2.19
52=	Tom Milling		Both Hiding English Accents	77	79	79	80	79	394	78.80	0.98
52=	Ambika Grover		Harvard A	80	79	79	74	82	394	78.80	2.64
52=	Max Fan		Harvard A	79	79	79	73	84	394	78.80	3.49
52=	Tom Kuson		Shaq&amp;Tom	80	78	81	79	76	394	78.80	1.72
52=	Oana Nitu	ESL	Balkan Girls	78	80	81	79	76	394	78.80	1.72
52=	Ahmed Hussain		Oxford AP	80	80	82	74	78	394	78.80	2.71
52=	Pranav Baskar		Oxford AP	79	81	82	74	78	394	78.80	2.79
52=	Eaton Sia	Novice	Ninja Pagongs	81	80	76	76	81	394	78.80	2.32
60=	Cian Delahunty		The Hat Men	79	81	77	77	78	392	78.40	1.50
60=	Tajei Puthucheary	Novice	Oxford B	78	76	84	77	77	392	78.40	2.87
62=	Redacted		—	79	79	79	77	77	391	78.20	0.98
62=	Zachary &quot;Zach&quot; Sidney Austin Godley-McAvoy		KCL Aber one of us is from austin, 	80	79	79	75	78	391	78.20	1.72
62=	Alastair Bowyer		will make you scream harder than ho	79	78	81	76	77	391	78.20	1.72
65	Tanush Agarwal	Novice	Oxford B	78	77	84	77	74	390	78.00	3.29
66=	Lisa Knodt		BDU arm aber sexy	75	79	78	76	81	389	77.80	2.14
66=	Manav Dhaliwal		brown and down to clown(frown)	77	77	77	76	82	389	77.80	2.14
68	Daanish Sohail Sonawala		Imperial lists	78	77	77	79	77	388	77.60	0.80
69=	Felix Reischl	ESL	BDU arm aber sexy	74	78	79	74	82	387	77.40	3.07
69=	Thomas Calcagno	ESL	Imperial lists	78	78	76	77	78	387	77.40	0.80
71=	Cameron Docherty		Wondering what seriousposting disco	78	81	75	76	76	386	77.20	2.14
71=	Emma Bell	Novice	Cambridge Swift	77	78	78	78	75	386	77.20	1.17
71=	Maurice Coutiel	ESL	W = mc²	77	81	75	75	78	386	77.20	2.23
74=	Aarit Bhattacharya		Imperial This comp needs a ChatGPT 	76	79	77	77	76	385	77.00	1.10
74=	Kristjan Suuder	ESL	Tartu A	79	75	78	77	76	385	77.00	1.41
76=	Matthew Hamer		Imperial This comp needs a ChatGPT 	75	78	76	77	78	384	76.80	1.17
76=	Ellie Middleton		Wantaaage peeps	74	78	74	77	81	384	76.80	2.64
76=	Henry clement-jones		Wantaaage peeps	74	76	75	78	81	384	76.80	2.48
76=	Wendy Lian	Novice	Got Fucked Over By White Men	75	76	78	79	76	384	76.80	1.47
76=	Jack Jillings		14 more minutes of crying, 14 more 	76	76	79	76	77	384	76.80	1.17
76=	Tanel Mütt	ESL	Tartu A	81	75	78	76	74	384	76.80	2.48
82=	Maraia Chissa	ESL	W = mc²	76	79	74	76	78	383	76.60	1.74
82=	Joshua Stone	Novice	UoL Harry Potter and the boy who co	75	79	79	75	75	383	76.60	1.96
82=	Cordelia Thompson		EXEtremely nerdy politics students	75	78	76	77	77	383	76.60	1.02
85=	Aurora Zhang	Novice	Got Fucked Over By White Men	75	74	78	77	78	382	76.40	1.62
85=	Olivia Ortlieb		14 more minutes of crying, 14 more 	75	77	76	77	77	382	76.40	0.80
87=	Anoushka Kale	Novice	Cambridge Swift	78	76	77	75	75	381	76.20	1.17
87=	Jeremiah Kenyanjui	Novice	mickey smells 💩	79	78	75	76	73	381	76.20	2.14
87=	Angela Lu	Novice	Lucky Crickets	74	77	76	74	80	381	76.20	2.23
87=	Emma Kelly		UCD L&amp;H Queens recolonising Ireland	77	77	74	79	74	381	76.20	1.94
91=	Miranda Shen	ESL	LBS A	77	76	77	76	74	380	76.00	1.10
91=	Santiago Jimenez-Rowe		UCL David &amp; Goliath	78	76	79	73	74	380	76.00	2.28
