
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
21=	Afzal Hussain		Princeton South Asia	77	79	78	83	79	396	79.20	2.04
21=	Belle Ho		Sleep deprived and baked	79	76	81	78	82	396	79.20	2.14
21=	Talha Wani		Tweed Coats	81	78	79	78	80	396	79.20	1.17
21=	Hamza Nouman	ESL	McDonald and the Newman Strike Aga	76	79	80	80	81	396	79.20	1.72
25=	Justin Wu		Capybara and Young Hong Kong Boy	77	80	79	78	81	395	79.00	1.41
25=	Thej Mallu		Sleep deprived and baked	79	76	81	77	82	395	79.00	2.28
25=	Mira Eberdorfer	ESL	Miraculously Victorious	80	80	78	78	79	395	79.00	0.89
25=	Martha Johanne Schou	ESL	Girl Math Economists	80	77	78	80	80	395	79.00	1.26
25=	Robiah Arefin	ESL	Toto, I’ve a feeling we’re not in	78	78	81	80	78	395	79.00	1.26
25=	Rohan Kapoor		debater? I actually get along with	79	80	79	78	79	395	79.00	0.63
31=	Super Nana	ESL	A cook and a chef	76	80	78	82	77	393	78.60	2.15
31=	Panagis Gouvelis	ESL	Athens A	79	79	79	77	79	393	78.60	0.80
31=	George Fragkiadakis	ESL	Athens A	77	79	80	77	80	393	78.60	1.36
31=	Will Ryan	Novice	Pacific Coast CR	78	79	79	78	79	393	78.60	0.49
35=	Aurora Zhang	ESL	KCL so much little bitch energy in	76	79	78	78	81	392	78.40	1.62
35=	Guy Wolf	ESL	Technion A	77	80	79	80	76	392	78.40	1.62
35=	Rina Neiman	ESL	Trauma dumping with extra steps	80	78	77	79	78	392	78.40	1.02
35=	Zahi Wali Aadit	ESL	Toto, I’ve a feeling we’re not in	77	77	82	80	76	392	78.40	2.24
35=	Benny Nicholson		debater? I actually get along with	79	78	77	79	79	392	78.40	0.80
35=	Ebenezer Appiah	Novice	don’t even trip dawg	78	79	81	78	76	392	78.40	1.62
41=	Dvij Mankad	ESL	A Weizmann once said	79	78	76	78	80	391	78.20	1.33
41=	Zaid Ahmed Abro	ESL	Pew Pew Ahmet Mohsin	75	77	82	81	76	391	78.20	2.79
41=	Joshua Stone		KCL so much little bitch energy in	77	78	77	77	82	391	78.20	1.94
41=	Yael Wolff	ESL	Technion A	77	79	79	80	76	391	78.20	1.47
41=	Ayafa Tonye	ESL	A cook and a chef	76	78	79	82	76	391	78.20	2.23
41=	Laura Pilmark	ESL	Girl Math Economists	78	77	78	79	79	391	78.20	0.75
47=	Imaad Hasan Jafri	ESL	Pew Pew Ahmet Mohsin	74	78	81	81	76	390	78.00	2.76
